x y
10.9 9.900018458233996
10.8 9.800020399503412
10.7 9.700022544937912
10.6 9.600024916009732
10.5 9.50002753644935
10.4 9.400030432483009
10.3 9.300033633095186
10.2 9.200037170318684
10.1 9.100041079555226
10.0 9.000045399929762
9.9 88.11005017216456
9.8 86.24005544852457
9.7 84.39006127973937
9.6 82.5600677241493
9.5 80.7500748462271
9.4 78.96008271722229
9.3 77.19009141587311
9.2 75.44010102919285
9.1 73.71011165333923
9.0 72.0001233945741
8.9 70.31013637032454
8.8 68.64015071035466
8.7 66.99016655806015
8.6 65.36018407189873
8.5 63.750203426969634
8.4 62.16022481675887
8.3 60.5902484550665
8.2 59.040274578135374
8.1 57.51030344700207
8.0 56.000335350092726
7.9 54.51037060608969
7.8 53.040409567096226
7.7 51.59045262213043
7.6 50.1605002009818
7.5 48.75055277846783
7.4 47.3606108791312
7.3 45.990675082422555
7.2 44.640746028418
7.1 43.31082442412512
7.0 42.00091105043684
6.9 40.71100676979759
6.8 39.44111253465277
6.7 38.191229396758565
6.6 36.961358517436345
6.5 35.75150117886357
6.4 34.56165879650061
6.3 33.391832932761794
6.2 32.24202531204759
6.1 31.112237837263876
6.0 30.002472607964314
5.9 28.912731940260862
5.8 27.84301838865764
5.7 26.793334769972635
5.6 25.763684189520415
5.5 24.754070069737672
5.4 23.764496181439206
5.3 22.794966677897175
5.2 21.845486131937758
5.1 20.916059576246827
5.0 20.006692547069324
4.9 78.43639154439646
4.8 73.12016257570289
4.7 68.05201330543444
4.6 63.225951811974255
4.5 58.63598695769324
4.4 54.27612845742918
4.3 50.14038695126886
4.2 46.222774081511545
4.1 42.51730257357624
4.0 39.017986320473184
3.9 35.71884047028598
3.8 32.61388151590756
3.7 29.69712738603304
3.6 26.962597536142333
3.5 24.404313037906114
3.4 22.016296665131165
3.3 47.776671123444544
3.2 41.15276561466912
3.1 35.262207077400035
3.0 30.04742558178293
2.9 25.45325308503428
2.8 21.42692339203684
2.7 17.91807207143181
2.6 14.878736316289546
2.5 12.2633547360652
2.4 15.407013207524631
2.3 11.847153884098976
2.2 9.029672155122512
2.1 6.824709825334707
2.0 5.119208333826404
1.9 4.347138017735544
1.8 3.0932721712092066
1.7 2.213278523560406
1.6 1.625993511879613
1.5 1.1746180471575527
1.4 0.8640431664651251
1.3 0.6427018093842018
1.2 0.5976707202470513
1.1 0.5898614163815626
1.0 0.5819502851677112
0.8 0.5659413892427408
0.7000000000000001 0.5578352783264434
0.6000000000000001 0.5496574501953001
0.5 0.5414250524880381
0.4 0.5331567370926608
0.30000000000000004 0.5248689636964927
0.2 0.5165333525263813
0.1 0.5081564940588115
0.08 0.5064629721359688
0.07 0.5056264243039924
0.06 0.5047897613630086
0.05 0.5039470059357606
0.04 0.5031161226285087
0.03 0.502273005419506
0.02 0.5014337560839747
0.01 0.5005921632517226
0.008 0.5004238122107221
0.007 0.5003387430862819
0.006 0.5002545579828549
0.005 0.500170145862084
0.004 0.5000870777963283
0.003 0.5000026625282067
0.002 0.49991824294060666
0.001 0.4998344987941829
